,Description,Genre
11,"McGriff and Albaby are probably doing the worst law enforcement job in the world - they are plain clothes U.S. military policemen on duty in war-time Saigon. However, their job becomes even harder when they start investigating the serial killings of local prostitutes. Their prime suspect is high ranking U.S. Army officer which brings their lives in danger.",Crime
12,"Having written the music and screenplay for this film, Paul McCartney also plays himself in the leading role.  When the mastertape of McCartney's latest album is misplaced, he must discover its whereabouts in less than 24 hours or else risk losing his recording company to the lowlife Mr. Rath (John Bennett).  McCartney performs three new songs, along with classic Beatles' tunes. Co-starring are former Beatles mate Ringo Starr as the drummer in Paul's band, Ringo's real-life wife Barbara Bach, McCartney's then wife Linda and Tracy Ullman.",Non Crime
13,"It's vacation time for Carter as he finds himself alongside Lee in Hong Kong wishing for more excitement. While Carter wants to party and meet the ladies, Lee is out to track down a Triad gang lord who may be responsible for killing two men at the American Embassy. Things get complicated as the pair stumble onto a counterfeiting plot. The boys are soon up to their necks in fist fights and life-threatening situations. A trip back to the U.S. may provide the answers about the bombing, the counterfeiting, and the true allegiance of sexy customs agent Isabella.",Crime
14,"Theodore, a young Spanish engineer who works as a professor at the University of Oklahoma, returned to Spain to enjoy a sabbatical year. Upon arrival, he discovers that his father killed his mother and, to compensate for the loss, he bought a motorcycle with sidecar to travel together. Father and son arrive in a remote mountain village seems empty, what happens is that all residents are in church every day, because the Mass is a true spectacle. Jimmy and Theodore are discovering the peculiarities of the people, attend the elections held each year to appoint mayor, priest, teacher, bitch ... In addition, the town has come a group of students at the American University of Eaton, a Belgian meteorologists, a dissident group of the Russian Army Choir, invading people's hidden above ...",Non Crime
15,"At a French boarding school for troubled youth in the early 1970's, the Headmaster and his wife decide that their son Daniel, who is fifteen years old but looks younger, should finally go live in the dorm with all the other students, as they do not want it to seem Daniel is receiving any special treatment. Daniel is now faced with the challenge of earning the trust and respect of the other students, who all come from troubled backgrounds.",Non Crime
16,Hard-hitting news editor Jim Branch falls for high-society type Sharon Norwood but can't get to first base as he continually makes use of her knowledge of the rich and famous to try to solve the murder of one of her socialite acquaintences. Written by Doug Sederberg,Crime
17,"When notorious pirate Henry Morgan is made governor of Jamaica, he enlists the help of some of his former partners in ridding the Caribbean of Buccaneers. When one of them apparently abducts the previous governor's pretty daughter and joins up with the rebels, things are set for a fight.",Non Crime
18,"The Prohibition years. Chicago bootleggers suffer losses due to their betrayal by one Mick Nich - Mikita Nichiporuk. The mob decides to execute the traitor, who escaped to Odessa, USSR, and organized his own bootleg business there. The hitman, Pollack, arrives in Odessa, and realizes how hard it is to make the hit here, as compared to a civilized country like USA.",Non Crime
19,"Franco Sereni, a captain of carabiniers, is dismissed from service for being the proponent of ""the law of the gun"". He is asked to hold a private investigation of several cases of blackmailing wealthy women. Soon Sereni finds out that there is much more then just blackmailing.",Crime
20,"The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of criminals who have kidnapped her child.",Crime
21,"Steve, a happily married American man living in London meets Vicki, an English divorcée and run off to Marbella for a rollicking week of sex. They then return to London to set up a cozy menage, despite the fact that he loves his wife and children, and now realize that he and Vicki have also fallen in love.",Non Crime
22,"The film describes a strike in a French textile factory, when the striking workers occupy the factory.",Non Crime
23,"The movie consists of two satirical novel based on the same idea: both the ""gangsters"" and ""philanthropists"" end up in the courtroom.",Crime
24,"In this silent film, a renegade police captain sets out to catch a sadistic mob boss.",Crime
25,"A killer known as Ghostface begins killing off teenagers, and as the body count begins rising, one girl and her friends find themselves contemplating the 'rules' of horror films as they find themselves living in a real-life one.",Crime
26,A thriller crime comedy directed by Wolfgang Murnberger.,Crime
27,"When old feelings return, a reunion of friends at a Swedish summerhouse is thrown into chaos, hurt and conflict.",Non Crime
28,"Set in late 19th century Canton this martial arts film depicts the stance taken by the legendary martial arts hero Wong Fei-Hung (1847-1924) against foreign forces' (English, French and American) plundering of China.",Non Crime
29,"Handsome dentist Herve Dandieu, temporarily separated from his new, delectable wife Virginie by a lovers' tiff, is picked up by sexy dance teacher Anita Flores...object blackmail. Sensing trouble, Virginie follows him to the dance school, only to find him circumstantially incriminated in murder. Soon, the school has a gorgeous new instructress, whose slightly scatterbrained attempts to clear her husband confuse both police and suspects...and bring potential danger.",Crime
30,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",Non Crime
31,"A wealthy New York investment banking executive hides his alternate psychopathic ego from his co-workers and friends as he escalates deeper into his illogical, gratuitous fantasies.",Crime
32,"An intimate look at the very public and passionate fight waged by residents and business owners of Brooklyn’s historic Prospect Heights neighborhood facing condemnation of their property to make way for the polarizing Atlantic Yards project, a massive plan to build 16 skyscrapers and a basketball arena for the New Jersey Nets.",Non Crime
33,"The 10th Godzilla film.  A boy uses his imagination to take him to Monster Island so he can escape the pains of real life.  There he is befriended by Godzilla's son, who helps him with his struggles.",Non Crime
34,A depiction of a series of violent killings in Northern Ireland with no clue as to exactly who is responsible.,Crime
35,"The police suspect that a drug and forced-prostitution ring is behind the recent spate of kidnappings and disappearances, but so far they've been unable to infiltrate the suspects gang. To break the case, they recruit Ginger, a young woman from an upper-class family to act as bait for the kidnappers and hopefully lead the police to their hideout. It may sound like a foolproof plan to the police, but Ginger's the one who has to risk it all.",Crime
36,"Those wacky Bowery Boys invent a superfast fuel, which will help them win an auto race (isn't this cheating?). However, the fuel is stolen by the bad guys just before the big race...",Non Crime
37,"A forged 500-franc note is cynically passed from person to person and shop to shop, until it falls into the hands of a genuine innocent who doesn't see it for what it is - which will have devastating consequences on his life, causing him to turn to crime and murder.",Crime
38,"Professional killer Holland is forced out of retirement to break a Central American government's political torture ring when one of his friends, a Latin American journalist, is killed. The murderer, Doctor Clement Molloch, is the master sadist behind the political torture of innocent victims. Posing as a journalist, Holland lures Molloch out of his fortress-like headquarters by using his murdered friend's wife and daughter as bait. When Holland kidnaps Molloch's sister, the doctor is led on a wild chase that takes him to an abandoned opal mine where he finally comes face to face with Holland.",Crime
39,A cop clashes with his priest brother while investigating the brutal murder of a young prostitute,Crime
40,"Moments before his comeback performance, a concert pianist who suffers from stage fright discovers a note written on his music sheet.",Non Crime
41,"For years Yellowbeard had looted the Spanish Main, making men eat their lips and swallow their hearts. Caught and convicted for tax evasion, he's sentenced to 20 years in St. Victim's Prison for the Extremely Naughty. In a scheme to confiscate his fabulous treasure, the Royal Navy allows him to escape and follows him, where saucy tarts, lisping demigods and some awful puns and punishments await.",Non Crime
42,"There are three stories of women and men: in ""A Time for Love"" set in 1966, a soldier searches for a young woman he met one afternoon playing pool; ""A Time for Freedom,"" set in a bordello in 1911, revolves around a singer's longing to escape her surroundings; in ""A Time for Youth"" set in 2005 Taipei, a triangle in which a singer has an affair with a photographer while her partner suffers is dramatized. In the first two stories, letters are crucial to the outcome; in the third, it's cell-phone calls, text messages, and a computer file. Over the years between the tales, as sexual intimacy becomes more likely and words more free, communication recedes.",Crime
43,Multiple lives intersect in the aftermath of the violent mugging of a Columbia University philosophy professor.,Non Crime
44,"Kickboxer 2 is, well, an unnecessary sequel which unfortunately lacked the presence of the phenomenal Jean-Claude Van Damme. Despite this, the movie manages to be a great deal of fun. The fights are well staged and there is an excess of campy acting which is a requisite of this genre. It is one of many of these types of flicks which could make you cry if you take it seriously, in that you'll regre",Non Crime
45,"Mob drama starring Ray 'Boom Boom' Mancini, Mia Sara and Costas Mandylor.",Crime
46,"Anna is stuck: she’s approaching 30 and has just moved back to her rural home-town, and into a shed in her mother’s backyard. She spends her time working a menial job at a local boating center and hides in the depths of her imagination, making movies with her thumbs. Irritated by her childish behavior, Anna's mother insists that she move out of her shed and on with her life. When a troubled young boy starts hanging around, the two form an unlikely bond. Through their strange yet mutually beneficial friendship, Anna slowly begins to confront her perpetual state of arrested development.",Non Crime
47,"Boston is being terrorized by a series of seemingly random murders of women. Based on the true story, the film follows the investigators path through several leads before introducing the Strangler as a character. It is seen almost exclusively from the point of view of the investigators who have very few clues to build a case upon.",Crime
48,A charismatic psycho suspected of killing two innocent campers in a cold-blooded double homicide grows increasingly unstable as his suburban empire starts to crack at the foundations.,Crime
49,"Mary Turner goes up for three years on a crime she didn't commit. Once out she and former prison mates plan a scam in which old men can be sued for breach of promise - the ""heart balm"" racket. After plotting verious ways to get back at the men who set her up initially, she softens and settles down.",Non Crime
50,An African American detective is asked to investigate a murder in a racist southern town.,Crime
51,"The Swede (Marlon Brando), a prison warden, rules his family and his prison with an iron hand in one of the coldest parts of North Dakota. When an inmate dies under mysterious circumstances, however, the FBI sends in agent Karen Polarski (Mira Sorvino) to investigate. On the home front, the sons-in-law of the Swede, Larry (Thomas Haden Church) and Bud (Charlie Sheen) accidentally discover that a train loaded with millions of dollars of unmarked currency slated to be destroyed will soon be passing through. The temptation is too great and the guys hatch a scheme to rob the train. Of course, the biggest obstacle in their way is the Swede.",Crime
52,"In this film noir classic, a revenge-seeking gangster (Dennis O'Keefe) is sent to prison after being framed for a crime he didn't commit. After seducing a beautiful young woman, he uses her to help him carry out his plot for vengeance, leading him to the crazy pyromaniac (Raymond Burr) who set him up.",Crime
53,A nurse eavesdrops with a friend on a cell phone conversation that describes a bank heist. She and the friend then conspire to blackmail the robbers for $2 million.,Crime
54,"Sex Machine tells of the affable but simple Hiroshi, who during one sweltering summer in a small, parochial town, moves in with his girlfriend, Haruka. Their lovemaking is as athletic as it is bizarre but a dark storm comes looming when Haruka's ex boyfriend comes knocking at the door.",Non Crime
55,"On July 2, a giant alien mothership enters orbit around Earth and deploys several dozen saucer-shaped 'destroyer' spacecraft that quickly lay waste to major cities around the planet. On July 3, the United States conducts a coordinated counterattack that fails. On July 4, a plan is devised to gain access to the interior of the alien mothership in space, in order to plant a nuclear missile.",Non Crime
56,"Paris, 1933. The daughter of a respectable lower middle class couple, Violette Nozière, leads a disreputable double life. Far from being the innocent 18-year-old her parents mistake her for, she spends her nights with dissolute young men in the less salubrious areas of the city. One day, Violette meets her ideal man, Jean Dabin, but he is a scoundrel who soon begins to extort money from her. When her parents discover that she is stealing from them, Violette finds the tension in their cramped apartment unbearable and she is driven to murder both her parents.",Crime
57,The film tells the story of Freek Groenevelt and Simone Marijnissen whose lives are taken over by Joachim Stiller.,Non Crime
58,"Shot entirely without dialogue and filled with suggestive violence and psycho-sexual imagery, it's like a skid row expressionist thriller following the nocturnal prowling of a young woman haunted by homicidal guilt.",Crime
59,"The tale of two brothers with serious financial woes. When a third party proposes they turn to crime, things go bad and the two become enemies.",Crime
60,"Forensic psychologist Alex Cross travels to North Carolina and teams with escaped kidnap victim Kate McTiernan to hunt down ""Casanova,"" a serial killer who abducts strong-willed women and forces them to submit to his demands. The trail leads to Los Angeles, where the duo discovers that the psychopath may not be working alone.",Crime
61,"The Bounty leaves Portsmouth in 1787. Its destination: to sail to Tahiti and load bread-fruit. Captain Bligh will do anything to get there as fast as possible, using any means to keep up a strict discipline. When they arrive at Tahiti, it is like a paradise for the crew, something completely different than the living hell aboard the ship. On the way back to England, officer Fletcher Christian becomes the leader of a mutiny.",Non Crime
62,"Walking With Destiny highlights Churchill's years in the political wilderness, his early opposition to Adolf Hitler and Nazism, and his support for Jews under threat by the Nazi regime. As historian John Lukacs explains, Churchill may not have won the War in 1940, but without him, the War most certainly would have been lost. Sir Martin Gilbert, historical consultant for the film and Churchill's official biographer, adds that had Churchill's warnings about Nazi Germany's racial policies towards Jews been heeded in the early 1930's, the Holocaust may never have occurred. The film examines why Winston Churchill's legacy continues to be relevant in the 21st Century and explores why his leadership remains inspirational to current day political leaders and diplomats.",Non Crime
63,"An interview session with Arnold Schwarzenegger and director James Cameron gives us a better understanding of how hard it was making Terminator, The (1984) on such a low budget. Clips from the film are present along with funny and interesting stories from behind the scenes.",Non Crime
64,"A teenaged boy goes for a ride with his brother and the brother's friends, who proceed to rob a store and murder the clerk. They are caught and, despite the young boy's protestations, he is convicted of murder and sent to prison. A female social worker assigned to the boy's case not only believes him, but begins to fall in love with him, and determines to either help him prove his innocence or escape.",Crime
65,"The Russians need help in dealing with the Mafia and so they seek help with the veterans of the Police Academy. They head off to Moscow, in order to find evidence against Konstantin Konali, who marketed a computer game that everyone in the world is playing.",Crime
66,"The Dark Knight of Gotham City confronts a dastardly duo: Two-Face and the Riddler. Formerly District Attorney Harvey Dent, Two-Face believes Batman caused the courtroom accident which left him disfigured on one side. And Edward Nygma, computer-genius and former employee of millionaire Bruce Wayne, is out to get the philanthropist; as The Riddler. Former circus acrobat Dick Grayson, his family killed by Two-Face, becomes Wayne's ward and Batman's new partner Robin.",Crime
67,A young man in Delhi tries to break free from his controlling brothers.,Crime
68,"Two boys (Tamir &amp; Amine) awake one morning to find that their father has abandoned their family. Shocked, they begin to misbehave. While surreptitiously watching a movie, they think they see their father speaking to them and steal the film to examine the frames. Their mother (Achta) eventually despairs and sends them to Koranic school. Unhappy, they plan their escape until the eldest boy falls in love with a deaf girl (Khalil).",Non Crime
69,A frontiersman and his son fight to build a new home in Texas.,Non Crime
70,A reporter becomes the target of a vicious smear campaign that drives him to the point of suicide after he exposes the CIA's role in arming Contra rebels in Nicaragua and importing cocaine into California. Based on the true story of journalist Gary Webb.,Crime
71,"Recently widowed and retired geologist Guan Zhiguo (Zhang Guoli) eagerly anticipates the annual summer visit of his four children, but one after another, they call to cancel. He decides to step outside his Beijing courtyard to check up on his brood.",Non Crime
72,"After American scientist gets severely injured and scarred in a car crash in USSR, Russians use metal implants to save him. Once back in the States no one can tell if it's really him so a specialist must determine who is under the ""mask"".",Non Crime
73,"Zed (Eric Stoltz) is an American vault-cracker who travels to Paris to meet up with his old friend Eric (Jean-Hugues Anglade). Eric and his gang have planned to raid the only bank in the city which is open on Bastille day. After offering his services, Zed soon finds himself trapped in a situation beyond his control when heroin abuse, poor planning and a call-girl named Zoe all conspire to turn the robbery into a very bloody siege.",Crime
74,"The film followed the adventures of DI Regan and DS Carter as they became embroiled in a deadly political scandal. One of the leading members of the government, Charles Baker (Ian Bannen) is about to secure a huge deal with OPEC stabilising the world oil market and boosting Britain's position within it. Baker is the rising star of government, regarded a future prime minister, who is closely controlled by his urbane, manipulative American press secretary Elliot McQueen (Barry Foster). When Regan investigates the mysterious death of a prostitute as a favour to one of his informants, he becomes aware that Baker and McQueen might be involved. A spate of killings follow - which sees Regan take on both the criminals and the hierarchy of the Metropolitan Police and British security services. The outcome of the film was similar to that of the Profumo affair, through with a typical Sweeney bittersweet ending.",Crime
75,A lonely young woman's desperate need for emotional and sexual companionship draws her into a surreal and ultimately destructive relationship with a shifting and whispering tattoo she has willed to life on her skin.,Non Crime
76,"The Valley of Light is a beautifully-filmed, sentimental movie of a young man's quest to make sense of his experiences and find new meaning in life. While this film deals with weighty material such as the suicide of Eleanor's husband and Mathew's untimely death, the content is handled with reverence and sensitivity. Parents can feel confident in sharing this and many other Hallmark films with their families.",Non Crime
77,"Born into a life of crime, G has just spent 8 years in the pen. Now out on the streets he's back to his old ways wondering if a con can ever really straighten out. Things become more complex when G hooks up with Alexis who makes her living upholding the law.",Crime
78,"During a stopover in Buenos Aires on her way to Chile, 31-year-old Maria recognizes a nursery rhyme. Maria doesn't speak a work of Spanish, but without understanding what she is singing, she remembers the Spanish lyrics. Disturbed and thrown off course, she decides to interrupt her journey and wander through the unfamiliar city. On the phone to Germany, she tells her father, Anton, about her experience and the peculiar fascination the unfamiliar city has had for her. Two days later, Anton suddenly turns up at Maria's hotel with something to confess: Maria spent the first three years of her life in Buenos Aires during the military dictatorship at the end of the 1970s. The people she had always thought were her parents had adopted her and brought her to Germany. Father and daughter begin a journey in search of Maria's biological parents. Anton does everything he can not to lose his daughter.",Non Crime
79,After the events of the first movie Yagami Light faces two new adversaries as he is trying to create a perfect world without crime or criminals. This movie continues the first tv special and is a summary of the last 12 episodes of the tv anime,Crime
80,The film explores the image of the Romanian dictator Nicolae Ceausescu using unknown official footage from the Romanian National Television and National Film Archives.,Non Crime
81,"Two lovers, Nikki and Al, have a scam in which Nikki allows herself to be picked up by older men, drugs them, and, with Al's help, robs them. After accidentally killing one of her victims with an overdose, Nikki and Al are on the run.",Crime
82,"Rafael, a Seville citizen who has never left the Spanish region of Andalucia, decides to leave his homeland to follow Amaia, a Basque girl unlike other women he has known.",Non Crime
83,"When his import/export business infiltrated by international diamond smugglers, Mr. Moto must follow a trail of clues littered with beautiful women, glittering gems and deadly assassins. Making his way from the mysterious streets of San Francisco's Chinatown to the dark and dangerous alleys of Shanghai, Mr. Moto will stop at nothing to bring the culprits to justice...even if it means making the ultimate sacrifice!",Crime
84,Raymond Dabney returns to his family after trouble with the law. He convinces the sheriff to give him a job watching the house and furniture of widow Crystal Wetherby without knowing she is engaged to his brother.,Non Crime
85,"Swedish thriller based on Stieg Larsson's novel about a male journalist and a young female hacker. In the opening of the movie, Mikael Blomkvist, a middle-aged publisher for the magazine Millennium, loses a libel case brought by corrupt Swedish industrialist Hans-Erik Wennerström. Nevertheless, he is hired by Henrik Vanger in order to solve a cold case, the disappearance of Vanger's niece",Crime
86,"A creature of ancient legend manifests, bound to protect the ecological balance of the land and killing anyone that threatens it. This elusive guardian is initially both feared and celebrated by the locals, but when a deadly curse affects them all, they must unite and recapture the monster wolf’s spirit or face their ultimate doom.",Non Crime
87,"A cold hearted American hit man goes to Europe for 'one last score'. His encounter with a beautiful young woman casts self doubt on his lifeblood, and influences him to resist carrying out the contract",Crime
88,"When Curtis Snow steals a video camera from some college kids during a dope deal, he gives the camera to his best friend, Pancho, and they start documenting their lives. At first its business as usual for Curtis. He robs dope boys, he runs from the cops, he sells drugs, all while trying to provide for his two-year-old son. But when one of the dealers he ripped off comes for revenge, Curt’s life starts to spiral out of control.",Non Crime
89,"Waging his one-man war on the world of organized crime, ruthless vigilante-hero Frank Castle sets his sights on overeager mob boss Billy Russoti. After Russoti is left horribly disfigured by Castle, he sets out for vengeance under his new alias: Jigsaw. With the ""Punisher Task Force"" hot on his trail and the FBI unable to take Jigsaw in, Frank must stand up to the formidable army that Jigsaw has recruited before more of his evil deeds go unpunished.",Crime
90,"Two brothers live in the economically-depressed Rust Belt, when a cruel twist of fate lands one in prison. His brother is then lured into one of the most violent crime rings in the Northeast.",Crime
91,"Johnny Doyle escapes a violent past in Ireland to lie low in London, until his former mentor Flynn breaks out of Brixton Prison...",Crime
92,"""The Baron"" wanted to commit the perfect heist involving 3 tons of money and no violence. For this he would need the right people willing to get 1 million dollars to take part in this job. Based on true events, in 2005, 168,000,000 Brazilian Real (almost 80,000,000 US dollars) were stolen from a Brazilian Central Bank (Federal Reserve), making it the biggest peace-time robbery in history. It was perhaps the most audacious bank heist ever.",Crime
93,A prim psychology professor fights to hide a murder she committed in self-defense.,Crime
94,"A good ol' boy (McKinnon) gets into trouble with some mobsters, and then must seek assistance from his estranged, identical twin gay brother.",Non Crime
95,The moon is such a familiar presence in the sky that most of us take it for granted. But what if it wasn't where it is now? How would that affect life on earth?,Non Crime
96,"Ten years ago, Andrew married his childhood sweetheart, Beth. Now Andrew's a high-powered literary agent, but his relationship with his wife has not fared as well. When Beth is tragically killed just days before Christmas, an angel gives Andrew the chance to relive the last three days his wife was alive. But he can't change fate and Beth will still lose her life. However, Andrew can still discover the gift Beth needs most from him.",Non Crime
97,A crook on the run hides out in an innocent girl's apartment.,Crime
98,"Ginger Rogers and Francis Lederer share equal billing -- and near-equal screen time -- in this amiable RKO programmer.
 Lederer plays Karel Novak, an incredibly naïve Czech immigrant who is taken under the wing of streetwise New York chorus girl Sylvia Dennis (Rogers).
 With the help of lovable cop-on-the-beat Murphy (J. Farrel McDonald), Sylvia hides Karel from the immigration authorities and ultimately falls in love with him.
 In addition to Karel's illegal-alien status, the plot is complicated by a crooked lawyer (Arthur Hohl) and a group of well-meaning welfare workers who endeavor to place Sylvia's kid brother Frank (Jimmy Butler) in a foster home.",Non Crime
99,Illicit lovers plot to kill the woman's older husband.,Crime
100,"Ranvir and Rajiv are half brothers who own a huge stud farm in South Africa. Ranvir is a very shrewd and aggressive man while Rajiv is laid back, and a chronic alcoholic. Sophia, Ranvir's personal secretary adores and loves him. Ranvir is unaware of her feelings. Shaina, an Indian ramp model in Durban loves Ranvir but through a twist of fate gets married to his younger brother Rajiv. When she discovers that Rajiv is a chronic alcoholic, her world is shattered. Ranvir too is disturbed as he has sacrificed his love for his younger brother because Rajiv had promised to leave alcohol for good if he marries Shaina. In a weak moment Ranvir and Shaina come very close to each other. When Rajiv starts suspecting, all hell breaks loose. A murder is committed, a contract killing is issued. A sharp tongued detective R.D., getting wise on the proceedings, starts an intriguing investigation with his brainless bimbo assistant Mini",Crime
101,"High school student Paula Carson's affections are being sought after by two of her classmates: Dwight, the ""bad boy"", and Brian, a disturbed young man who has just been released from a mental hospital where he was committed following the suspicious death of his father. Soon after being released, more murders start happening. Is Brian back to his old tricks, or is Dwight just trying to eliminate the competition?",Non Crime
102,"A wild tale of mistaken identity set during the Nazi occupation of Greece and starring the great Thanasis Vengos. Thanasis is called upon, during the Occupation, to testify at the trial of a tavern owner accused of serving cat meat to his customers. He too is accused of perjury and imprisoned with some resistance fighters. The resistance fighters escape, but Thanasis remains in his cell. He is accused of being Ivan, the notorious ringleader of certain revolutionaries.",Non Crime
103,"The extravagant cop Michael Dooley needs some help to fight a drug dealer who has tried to kill him. A ""friend"" gives him a dog named Jerry Lee (Officer Lewis), who has been trained to smell drugs. With his help, Dooley sets out to put his enemy behind the bars, but Jerry Lee has a personality of his own and works only when he wants to. On the other hand, the dog is quite good at destroying Dooley's car, house and sex-life...",Crime
104,"A depressed housewife whose husband is having an affair contemplates suicide, but changes her mind when she faces death by a killer hired to do her in.",Crime
105,"In the days following the D-Day invasion in Normandy, France, a British platoon leader named Saul (Gabriel Byrne) and his corporal (Paul Wyett) reach an isolated farmhouse and encounter a beautiful French girl named Belle (Marianne Basler). Love blooms between Saul and Belle, but the grim realities of war catch up with them when a French Resistance trio claims that Belle is a Nazi collaborator. Judge Reinhold appears briefly as the token Yank.",Non Crime
106,"A year after Sheila is killed in a hit-and-run, her multimillionaire husband invites a group of friends to spend a week on his yacht playing a scavenger hunt-style mystery game. The game turns out to be all too real and all too deadly.",Crime
107,"An old man dies of heartbreak when a cruel landlord is about to repossess his land. The old man haunts the landlord from the grave. Since the man died in debt, his wife and daughter are indentured servants and are forced to work in the landlord's factory.",Non Crime
108,"A middle-aged man sets out on a symbolic journey through past, present, and future to learn why an old friend committed suicide, and learns much about his own life along the way.",Non Crime
109,"A short-tempered, violent criminal named ""White Tiger"" is on the run from the police and joins a theater troupe for disguise, killing anyone who angers him or who suspects his identity. One person he unsuccessfully tries to kill several times is a cowardly laundry man named ""Mousy"" who manages to escape mostly by running and hiding. When a very close friend of Mousy's is killed by the White Tiger, Mousy overcomes his cowardliness enough to seek revenge. Spectacular martial arts and acrobatics highlight the film, including a well choreographed fight between two pairs of men in dragon costume.",Crime
110,"During the Nazi regime, there was widespread persecution of homosexual men, which started in 1871 with the Paragraph 175 of the German Penal Code. Thousands were murdered in concentration camps. This powerful and disturbing documentary, narrated by Rupert Everett, presents for the first time the largely untold testimonies of some of those who survived.",Non Crime
111,"When a crisis threatens to destroy their high school, four teens hatch a daring plan to raise $10 million. Step one? Breaking into the U.S. Mint.",Crime
112,"John Daniels stars as Jonathan Knight, the owner of ""Mr. Jonathans"", the most successful hair salon for women on the Sunset Strip. Everything is cool for Jonathan until he messes with the mob in an effort to protect his young, attractive receptionist from her former boss.",Crime
113,"Pootie Tang, the musician/actor/folk hero of the ghetto, is chronicled from his early childhood to his battles against the evil Corporate America, who try to steal his magic belt and make him sell out by endorsing addictive products to his people. Pootie must learn to find himself and defeat the evil corporation for all the young black children of America, supatime.",Non Crime
114,"Industrialist Jean is living a jet set life in late sixties Paris. Things are not so well at home with his frigid wife Danielle. He meets their new neighbour, Nicole, and they become lovers. But she has a sadistic ex-boyfriend, Klaus, which keeps showing up. It soon transpires that Danielle and Nicole are conspiring against Jean, Klaus being the hitman hired to murder him.",Crime
115,"In this ""lost slasher film from 1978,"" a masked killer wages an unrelenting spree of murder, cannibalism, and necrophilia. But when his tortured past comes back to haunt him, he plunges to even greater depths of madness and depravity, consuming the lives of a young woman and those she holds dear.",Non Crime
116,"A young boy with a troubled home life becomes ""chosen,"" and he stumbles into the middle of a great spirit war, where he meets a group of friendly spirits who become his companions through his journey. Now he must fight to protect his friends and free the world of the spirits from oppression. The creatures and ghosts are taken directly from Japanese folklore and range from the cute and silly to the disturbing. Written by Seikima",Non Crime
117,"A mysterious and highly successful hitwoman in Hong Kong is paid to assassinate top-level crime bosses. After beginning a relationship with a noodle vendor, she decides to travel to South Korea to complete one last job. Unfortunately, the dead man's bodyguard is out for revenge.",Crime
118,"Follows veteran police officer Dave Brown, the last of the renegade cops, as he struggles to take care of his family, and fights for his own survival.",Crime
119,"Lyndon B. Johnson's amazing 11-month journey from taking office after JFK's assassination, through the fight to pass the 1964 Civil Rights Act and his own presidential campaign, culminating on the night LBJ is actually elected to the office – no longer the 'accidental President.'",Non Crime
120,"Aviator Jim Blaine and his brother Neil are rivals not only as daredevil flyers, but also for the love of parachutist Jill Collins.",Non Crime
